STATION,NAME,DATE,AWND,PRCP,TAVG
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",28/04/2017,13.65,0,58
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",29/04/2017,11.86,0,63
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",30/04/2017,12.53,0,55
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",01/05/2017,8.05,0,51
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",02/05/2017,6.93,0,51
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",03/05/2017,7.61,0,55
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",04/05/2017,10.07,0,61
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",05/05/2017,5.37,0,67
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",06/05/2017,7.61,0,65
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",07/05/2017,6.26,0,62
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",08/05/2017,5.82,0,60
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",09/05/2017,6.26,0.02,61
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",10/05/2017,9.62,0,64
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",11/05/2017,9.4,0,68
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",12/05/2017,12.75,0.01,73
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",13/05/2017,16.55,0,67
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",14/05/2017,11.63,0,60
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",15/05/2017,11.41,0,61
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",16/05/2017,5.14,0.41,62
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",17/05/2017,6.49,0,69
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",18/05/2017,9.62,0,63
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",19/05/2017,5.59,0,62
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",20/05/2017,15.88,0,63
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",21/05/2017,6.26,0,56
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",22/05/2017,13.65,0,63
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",23/05/2017,14.76,0,60
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",24/05/2017,14.09,0,62
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",25/05/2017,12.75,0,66
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",26/05/2017,12.75,0,68
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",27/05/2017,14.09,0,66
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",28/05/2017,7.61,0,65
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",29/05/2017,7.38,0,71
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",30/05/2017,13.87,0,69
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",31/05/2017,10.29,0.02,69
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",01/06/2017,12.08,0.78,62
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",02/06/2017,10.07,0.34,53
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",03/06/2017,8.72,0,58
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",04/06/2017,11.41,0,59
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",05/06/2017,5.37,0,60
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",06/06/2017,8.95,0.2,66
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",07/06/2017,8.95,0,64
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",08/06/2017,18.12,0.02,66
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",09/06/2017,13.65,0,70
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",10/06/2017,10.96,0,74
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",11/06/2017,9.62,0,75
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",12/06/2017,10.29,0,78
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",13/06/2017,10.74,0,80
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",14/06/2017,8.05,0.31,75
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",15/06/2017,8.28,1.09,72
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",16/06/2017,6.71,0.08,69
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",17/06/2017,9.62,0,74
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",18/06/2017,8.05,0,67
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",19/06/2017,6.71,0,74
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",20/06/2017,10.51,0.32,72
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",21/06/2017,12.97,0.51,77
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",22/06/2017,11.41,0,82
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",23/06/2017,10.96,0.02,79
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",24/06/2017,10.96,0,79
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",25/06/2017,9.17,0,76
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",26/06/2017,6.71,0,74
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",27/06/2017,11.86,1.02,68
